County,population,south
"Arkansas, AR",19019,1
"Ashley, AR",21853,1
"Baxter, AR",41513,1
"Benton, AR",221339,1
"Boone, AR",36903,1
"Bradley, AR",11508,1
"Calhoun, AR",5368,1
"Carroll, AR",27446,1
"Chicot, AR",11800,1
"Clark, AR",22995,1
"Clay, AR",16083,1
"Cleburne, AR",25970,1
"Cleveland, AR",8689,1
"Columbia, AR",24552,1
"Conway, AR",21273,1
"Craighead, AR",96443,1
"Crawford, AR",61948,1
"Crittenden, AR",50902,1
"Cross, AR",17870,1
"Dallas, AR",8116,1
"Desha, AR",13008,1
"Drew, AR",18509,1
"Faulkner, AR",113237,1
"Franklin, AR",18125,1
"Fulton, AR",12245,1
"Garland, AR",96024,1
"Grant, AR",17853,1
"Greene, AR",42090,1
"Hempstead, AR",22609,1
"Hot Spring, AR",32923,1
"Howard, AR",13789,1
"Independence, AR",36647,1
"Izard, AR",13696,1
"Jackson, AR",17997,1
"Jefferson, AR",77435,1
"Johnson, AR",25540,1
"Lafayette, AR",7645,1
"Lawrence, AR",17415,1
"Lee, AR",10424,1
"Lincoln, AR",14134,1
"Little River, AR",13171,1
"Logan, AR",22353,1
"Lonoke, AR",68356,1
"Madison, AR",15717,1
"Marion, AR",16653,1
"Miller, AR",43462,1
"Mississippi, AR",46480,1
"Monroe, AR",8149,1
"Montgomery, AR",9487,1
"Nevada, AR",8997,1
"Newton, AR",8330,1
"Ouachita, AR",26120,1
"Perry, AR",10445,1
"Phillips, AR",21757,1
"Pike, AR",11291,1
"Poinsett, AR",24583,1
"Polk, AR",20662,1
"Pope, AR",61754,1
"Prairie, AR",8715,1
"Pulaski, AR",382748,1
"Randolph, AR",17969,1
"St. Francis, AR",28258,1
"Saline, AR",107118,1
"Scott, AR",11233,1
"Searcy, AR",8195,1
"Sebastian, AR",125744,1
"Sevier, AR",17058,1
"Sharp, AR",17264,1
"Stone, AR",12394,1
"Union, AR",41639,1
"Van Buren, AR",17295,1
"Washington, AR",203065,1
"White, AR",77076,1
"Woodruff, AR",7260,1
"Yell, AR",22185,1
"Adams, CO",441603,0
"Alamosa, CO",15445,0
"Arapahoe, CO",572003,0
"Archuleta, CO",12084,0
"Baca, CO",3788,0
"Bent, CO",6499,0
"Boulder, CO",294567,0
"Broomfield, CO",55889,0
"Chaffee, CO",17809,0
"Cheyenne, CO",1836,0
"Clear Creek, CO",9088,0
"Conejos, CO",8256,0
"Costilla, CO",3524,0
"Crowley, CO",5823,0
"Custer, CO",4255,0
"Delta, CO",30952,0
"Denver, CO",600158,0
"Dolores, CO",2064,0
"Douglas, CO",285465,0
"Eagle, CO",52197,0
"Elbert, CO",23086,0
"El Paso, CO",622263,0
"Fremont, CO",46824,0
"Garfield, CO",56389,0
"Gilpin, CO",5441,0
"Grand, CO",14843,0
"Gunnison, CO",15324,0
"Hinsdale, CO",843,0
"Huerfano, CO",6711,0
"Jackson, CO",1394,0
"Jefferson, CO",534543,0
"Kiowa, CO",1398,0
"Kit Carson, CO",8270,0
"Lake, CO",7310,0
"La Plata, CO",51334,0
"Larimer, CO",299630,0
"Las Animas, CO",15507,0
"Lincoln, CO",5467,0
"Logan, CO",22709,0
"Mesa, CO",146723,0
"Mineral, CO",712,0
"Moffat, CO",13795,0
"Montezuma, CO",25535,0
"Montrose, CO",41276,0
"Morgan, CO",28159,0
"Otero, CO",18831,0
"Ouray, CO",4436,0
"Park, CO",16206,0
"Phillips, CO",4442,0
"Pitkin, CO",17148,0
"Prowers, CO",12551,0
"Pueblo, CO",159063,0
"Rio Blanco, CO",6666,0
"Rio Grande, CO",11982,0
"Routt, CO",23509,0
"Saguache, CO",6108,0
"San Juan, CO",699,0
"San Miguel, CO",7359,0
"Sedgwick, CO",2379,0
"Summit, CO",27994,0
"Teller, CO",23350,0
"Washington, CO",4814,0
"Weld, CO",252825,0
"Yuma, CO",10043,0
"Alachua, FL",247336,1
"Baker, FL",27115,1
"Bay, FL",168852,1
"Bradford, FL",28520,1
"Brevard, FL",543376,1
"Broward, FL",1748066,1
"Calhoun, FL",14625,1
"Charlotte, FL",159978,1
"Citrus, FL",141236,1
"Clay, FL",190865,1
"Collier, FL",321520,1
"Columbia, FL",67531,1
"DeSoto, FL",34862,1
"Dixie, FL",16422,1
"Duval, FL",864263,1
"Escambia, FL",297619,1
"Flagler, FL",95696,1
"Franklin, FL",11549,1
"Gadsden, FL",46389,1
"Gilchrist, FL",16939,1
"Glades, FL",12884,1
"Gulf, FL",15863,1
"Hamilton, FL",14799,1
"Hardee, FL",27731,1
"Hendry, FL",39140,1
"Hernando, FL",172778,1
"Highlands, FL",98786,1
"Hillsborough, FL",1229226,1
"Holmes, FL",19927,1
"Indian River, FL",138028,1
"Jackson, FL",49746,1
"Jefferson, FL",14761,1
"Lafayette, FL",8870,1
"Lake, FL",297052,1
"Lee, FL",618754,1
"Leon, FL",275487,1
"Levy, FL",40801,1
"Liberty, FL",8365,1
"Madison, FL",19224,1
"Manatee, FL",322833,1
"Marion, FL",331298,1
"Martin, FL",146318,1
"Miami-Dade, FL",2496435,1
"Monroe, FL",73090,1
"Nassau, FL",73314,1
"Okaloosa, FL",180822,1
"Okeechobee, FL",39996,1
"Orange, FL",1145956,1
"Osceola, FL",268685,1
"Palm Beach, FL",1320134,1
"Pasco, FL",464697,1
"Pinellas, FL",916542,1
"Polk, FL",602095,1
"Putnam, FL",74364,1
"St. Johns, FL",190039,1
"St. Lucie, FL",277789,1
"Santa Rosa, FL",151372,1
"Sarasota, FL",379448,1
"Seminole, FL",422718,1
"Sumter, FL",93420,1
"Suwannee, FL",41551,1
"Taylor, FL",22570,1
"Union, FL",15535,1
"Volusia, FL",494593,1
"Wakulla, FL",30776,1
"Walton, FL",55043,1
"Washington, FL",24896,1
"Adams, IL",67103,0
"Alexander, IL",8238,0
"Bond, IL",17768,0
"Boone, IL",54165,0
"Brown, IL",6937,0
"Bureau, IL",34978,0
"Calhoun, IL",5089,0
"Carroll, IL",15387,0
"Cass, IL",13642,0
"Champaign, IL",201081,0
"Christian, IL",34800,0
"Clark, IL",16335,0
"Clay, IL",13815,0
"Clinton, IL",37762,0
"Coles, IL",53873,0
"Cook, IL",5194675,0
"Crawford, IL",19817,0
"Cumberland, IL",11048,0
"DeKalb, IL",105160,0
"De Witt, IL",16561,0
"Douglas, IL",19980,0
"DuPage, IL",916924,0
"Edgar, IL",18576,0
"Edwards, IL",6721,0
"Effingham, IL",34242,0
"Fayette, IL",22140,0
"Ford, IL",14081,0
"Franklin, IL",39561,0
